epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,3195.7,0.68055,0.59415,1.11107,0.92884,0.83572,0.91473,0.76935,0.6201,0.4933,1.01137,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3230.14,0.69123,0.57493,1.12125,0.93206,0.82814,0.91515,0.77239,0.60935,0.48465,0.99926,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3264.83,0.68938,0.57312,1.11905,0.952,0.81461,0.91009,0.7676,0.62151,0.50127,0.99992,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3300.03,0.69775,0.59315,1.13229,0.93219,0.8239,0.91399,0.76756,0.62183,0.49223,1.00835,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3332.97,0.68354,0.56426,1.11126,0.93016,0.8295,0.914,0.77088,0.61489,0.49101,0.99556,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,3369.23,0.67968,0.56704,1.11464,0.94862,0.80647,0.91242,0.76894,0.61349,0.48578,1.00282,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,3403.17,0.68419,0.57202,1.12051,0.93588,0.81954,0.90775,0.76643,0.61754,0.48879,1.00209,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,3436.76,0.67866,0.59423,1.10409,0.94408,0.81943,0.91137,0.76881,0.61817,0.48206,0.99818,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,3471.94,0.69973,0.57165,1.14039,0.93796,0.81705,0.9152,0.77361,0.61621,0.4792,1.0038,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,3505.04,0.67554,0.56439,1.11445,0.94207,0.83012,0.91833,0.77144,0.62216,0.47247,1.00787,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,3540.08,0.68468,0.57164,1.11285,0.95806,0.80772,0.91573,0.77189,0.61539,0.47501,1.00277,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,3574.65,0.68967,0.57841,1.12136,0.95484,0.80709,0.91199,0.77154,0.61669,0.46959,1.00063,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,3607.85,0.66881,0.55168,1.10144,0.961,0.81272,0.91674,0.77243,0.61346,0.46787,0.99879,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
