epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,27910,1.11039,1.38689,1.65409,0.85785,0.5949,0.68168,0.38897,1.47448,1.2783,2.17073,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,28139.5,1.11749,1.39161,1.65836,0.8874,0.58848,0.68755,0.39934,1.45074,1.26468,2.14085,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,28369.3,1.11488,1.35584,1.65626,0.87019,0.59428,0.68501,0.39655,1.46072,1.27015,2.16957,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,28598.5,1.10752,1.3747,1.65656,0.87278,0.58805,0.68495,0.39371,1.47054,1.26735,2.17671,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,28827.3,1.11011,1.35751,1.65068,0.87785,0.57561,0.67606,0.38326,1.49132,1.31109,2.1929,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,29055.2,1.11303,1.37176,1.65472,0.87764,0.57685,0.67115,0.38322,1.49153,1.30284,2.19208,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,29283.9,1.10507,1.36423,1.64795,0.89455,0.57542,0.67555,0.38549,1.49943,1.30896,2.19777,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,29513,1.11006,1.36409,1.65507,0.87957,0.58174,0.67395,0.38426,1.50431,1.31122,2.21014,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,29743.4,1.10021,1.35732,1.64584,0.89856,0.57879,0.67511,0.38427,1.50805,1.32233,2.22219,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,29971.3,1.10457,1.36154,1.65159,0.89389,0.58307,0.67302,0.38071,1.51947,1.32541,2.22932,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,30200.8,1.10962,1.38264,1.64783,0.88485,0.58619,0.6751,0.38427,1.48869,1.33483,2.16944,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,30432.4,1.1046,1.36354,1.64535,0.88696,0.58307,0.67513,0.38488,1.47166,1.32755,2.14919,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,30660.5,1.10746,1.36529,1.6439,0.90057,0.58245,0.68124,0.38618,1.47395,1.2894,2.16249,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,30888.8,1.0939,1.34587,1.63999,0.90307,0.57975,0.67984,0.38755,1.48011,1.30065,2.15979,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,31117.4,1.09452,1.33801,1.63968,0.90982,0.58386,0.68135,0.3894,1.47854,1.28089,2.15431,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,31347.1,1.09405,1.34755,1.63933,0.91481,0.58992,0.68527,0.39696,1.46249,1.2674,2.14165,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,31576.5,1.10189,1.34592,1.63885,0.89945,0.59552,0.6812,0.39336,1.46682,1.24799,2.16078,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,31804.2,1.10869,1.34942,1.6471,0.88612,0.60044,0.68512,0.39462,1.4656,1.24551,2.14216,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,32034.1,1.08709,1.33641,1.62704,0.88513,0.59676,0.6857,0.40085,1.45407,1.24633,2.11486,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,32263.8,1.08159,1.34656,1.63343,0.87975,0.60361,0.68964,0.40286,1.45504,1.24655,2.1186,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,32490.1,1.0843,1.3234,1.63941,0.8739,0.59801,0.68293,0.39751,1.47087,1.26463,2.15355,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,32720.4,1.07068,1.32059,1.62536,0.87448,0.59676,0.67674,0.3923,1.4774,1.27369,2.16303,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
